x1	x2	y
0.015546392	0.807940924	3
0.004526935	1.426790678	3
1.358103051	1.193950413	3
1.37291148	0.218337347	3
0.236595105	0.281447509	3
0.933743853	1.358714244	3
1.484932768	1.066683688	3
1.097700614	1.363939807	3
0.601310599	0.37477602	3
0.260145256	0.179185576	3
1.218915882	0.22018856	3
0.396446224	1.228633768	3
0.465880878	1.473626174	3
0.399958053	0.800480017	3
0.471700517	1.366159247	3
0.549834966	0.650388491	3
0.768439038	1.408329716	3
0.046423509	1.075317995	3
1.336528431	0.040930835	3
0.783076871	0.488984718	3
1.289233981	0.837774826	3
1.035341802	0.67928025	3
0.942463556	0.435145278	3
0.014022867	0.865133902	3
0.467166321	0.775901398	3
1.37460878	0.639712183	3
0.371094055	0.556940642	3
1.397791675	1.405302572	3
1.266494923	1.380309771	3
0.341850435	0.131223314	3
2.2753	3.8589	1
2.9781	4.5651	1
2.932	3.5519	1
3.5772	2.856	1
4.015	3.1937	1
3.3814	3.4291	1
3.9113	4.1761	1
2.7822	4.0431	1
2.5518	4.6162	1
3.3698	3.9101	1
3.1048	3.0709	1
1.9182	4.0534	1
2.2638	4.3706	1
2.6555	3.5008	1
3.1855	4.2888	1
3.6579	3.8692	1
3.9113	3.4291	1
3.6002	3.1221	1
3.0357	3.3165	1
1.5841	3.3575	0
2.0103	3.2039	0
1.9527	2.7843	0
2.2753	2.7127	0
2.3099	2.9584	0
2.8283	2.6309	0
3.0473	2.2931	0
2.4827	2.0373	0
2.5057	2.3853	0
1.8721	2.0577	0
2.0103	2.3546	0
1.2269	2.3239	0
1.8951	2.9174	0
1.561	3.0709	0
1.5495	2.6923	0
1.6878	2.4057	0
1.4919	2.0271	0
0.962	2.682	0
1.1693	2.9276	0
0.8122	2.9992	0
0.9735	3.3881	0
1.25	3.1937	0
1.3191	3.5109	0
2.2292	2.201	0
2.4482	2.6411	0
2.7938	1.9656	0
2.0909	1.6177	0
2.5403	2.8867	0
0.9044	3.0198	0
0.7661	2.5899	0
0.0864	4.1045	1
4.6236	2.211	2
4.2382	1.6094	2
5.2964	1.5612	2
3.9732	1.2429	2
4.4475	1.3257	2
3.6365	2.1778	2
5.2574	1.5792	2
4.6737	1.8184	2
3.7154	1.6521	2
5.0482	1.8197	2
3.9196	1.4526	2
4.5886	1.087	2
5.0048	1.3946	2
5.2928	2.1816	2
3.7808	1.2195	2
4.7483	0.7251	2
4.2916	1.0857	2
4.7126	0.864	2
4.1005	1.0058	2
3.9601	1.4057	2
